PM25,O3,WS,TEMP,RH,WD
16.5,16.0,1,27.0,79.0,115.0
33.6,6.3478260869565215,1,27.0,82.0,97.0
34.2,6.3478260869565215,1,26.0,84.0,96.0
20.1,6.3478260869565215,1,26.0,82.0,108.0
16.5,1.0,1,27.0,79.0,106.0
15.4,1.0,1,26.0,82.0,108.0
15.7,7.0,1,26.0,82.0,109.0
18.1,1.0,1,27.0,79.0,114.0
19.5,6.3478260869565215,1,28.0,72.0,110.0
17.5,1.0,1,29.0,68.0,120.0
16.4,8.27977315689981,1,30.0,65.0,151.0
15.8,9.0,1,31.0,60.0,177.0
16.7,14.0,1,32.0,57.0,174.0
14.8,25.0,1,32.0,53.0,157.0
13.4,6.3478260869565215,1,32.0,50.0,144.0
10.4,21.0,1,32.0,52.0,151.0
11.4,21.0,1,31.0,56.0,146.0
12.7,6.3478260869565215,2,30.0,62.0,128.0
13.9,19.0,1,29.0,71.0,148.0
14.5,10.0,1,28.0,75.0,149.0
13.1,6.3478260869565215,1,28.0,76.0,121.0
15.2,6.3478260869565215,1,28.0,76.0,116.0
16.9,2.0,1,28.0,78.0,116.0
15.2,2.0,1,28.0,79.0,117.0
12.4,6.3478260869565215,2,27.0,79.0,120.0
11.8,7.0,1,27.0,80.0,114.0
12.5,6.3478260869565215,0,26.0,85.0,106.0
13.5,1.0,0,26.0,89.0,105.0
14.9,1.0,1,25.0,91.0,107.0
12.6,1.0,0,25.0,93.0,103.0
15.2,6.3478260869565215,0,25.0,92.0,105.0
19.3,2.0,1,26.0,88.0,106.0
18.7,6.3478260869565215,1,29.0,72.0,118.0
17.2,9.0,2,30.0,66.0,129.0
11.7,22.0,1,31.0,59.0,132.0
12.5,8.27977315689981,1,31.0,55.0,193.0
11.3,10.0,1,32.0,55.0,146.0
11.1,1.0,1,32.0,53.0,203.0
12.0,7.0,1,32.0,54.0,173.0
9.9,6.3478260869565215,1,31.0,56.0,178.0
9.3,2.0,1,31.0,57.0,171.0
9.9,1.0,1,29.0,65.0,180.0
10.8,15.0,1,28.0,71.0,138.0
16.5,9.0,1,28.0,73.0,134.0
13.1,6.3478260869565215,1,28.0,74.0,126.0
15.3,6.3478260869565215,1,28.0,76.0,111.0
14.3,2.0,1,27.0,77.0,111.0
12.6,3.0,1,27.0,77.0,113.0
9.9,12.0,1,27.0,80.0,109.0
10.8,6.3478260869565215,0,26.0,83.0,105.0
14.8,6.3478260869565215,0,26.0,84.0,106.0
13.1,6.3478260869565215,0,26.0,86.0,106.0
21.1,1.0,0,25.0,90.0,108.0
13.6,1.0,1,25.0,92.0,106.0
14.5,1.0,1,25.0,91.0,106.0
17.0,1.0,1,26.0,87.0,106.0
21.3,6.3478260869565215,1,29.0,74.0,116.0
17.4,3.0,1,30.0,67.0,123.0
18.2,26.0,1,31.0,59.0,148.0
19.2,14.0,1,31.0,58.0,168.0
11.4,8.27977315689981,1,32.0,55.0,193.0
15.1,5.0,1,32.0,52.0,204.0
14.8,19.0,1,32.0,53.0,168.0
15.2,15.0,1,32.0,56.0,156.0
16.6,6.3478260869565215,1,31.0,59.0,153.0
16.7,3.0,1,30.0,65.0,160.0
15.6,2.0,1,29.0,71.0,190.0
20.4,7.0,1,28.0,73.0,150.0
15.4,6.3478260869565215,1,28.0,74.0,170.0
14.0,6.3478260869565215,1,28.0,74.0,128.0
13.6,2.0,1,28.0,75.0,128.0
11.8,2.0,1,28.0,76.0,118.0
11.1,3.0,1,27.0,78.0,107.0
11.8,8.0,1,27.0,79.0,108.0
12.8,6.3478260869565215,1,26.0,83.0,103.0
15.3,6.3478260869565215,0,26.0,84.0,104.0
12.9,1.0,1,26.0,86.0,105.0
17.0,1.0,1,26.0,87.0,104.0
15.1,6.3478260869565215,1,26.0,85.0,106.0
15.7,5.0,1,27.0,79.0,117.0
16.4,6.3478260869565215,1,29.0,73.0,118.0
21.5,2.0,1,30.0,65.0,137.0
20.5,14.0,1,32.0,58.0,106.0
16.4,34.0,1,32.0,53.0,155.0
14.5,13.0,1,33.0,51.0,116.0
15.4,8.27977315689981,1,33.0,48.0,135.0
13.4,34.0,1,33.0,50.0,175.0
17.1,33.0,1,32.0,56.0,154.0
14.6,32.0,1,32.0,58.0,142.0
19.7,11.0,1,30.0,64.0,129.0
19.7,16.0,1,29.0,68.0,124.0
20.9,6.0,1,28.0,74.0,138.0
21.1,6.3478260869565215,1,28.0,73.0,153.0
23.1,6.3478260869565215,1,28.0,74.0,125.0
27.6,10.0,1,28.0,74.0,123.0
19.9,4.0,1,27.0,74.0,111.0
